Айди,Фамилия,"Имя,",отчество,Login,Password,Role
1,Никифоров,Всеволод,Иванович,loginDEjrm2018,Cpb+Im,3
2,Воронов,Донат,Никитевич,loginDEpxl2018,P6h4Jq,1
3,Игнатьева,Евгения,Валентиновна,loginDEwgk2018,&mfI9l,3
4,Буров,Федот,Егорович,loginDEpou2018,gX3f5Z,1
5,Иван,Семёновна,,loginDEjwl2018,D4ZYHt,4
6,Денисов,Дамир,Филатович,loginDEabf2018,*Tasm+,3
7,Ершов,Максим,Геласьевич,loginDEwjm2018,k}DJKo,3
8,Копылов,Куприян,Пётрович,loginDEjvz2018,&|bGTy,4
9,Носов,Валерьян,Дмитрьевич,loginDEuyv2018,8hhrZ},4
10,Силин,Игорь,Авдеевич,loginDExdm2018,DH68L9,1
11,Дроздова,Александра,Мартыновна,loginDEeiv2018,H*BxlS,4
12,Дроздов,Аркадий,Геласьевич,loginDEfuc2018,VuM+QT,3
13,Боброва,Варвара,Евсеевна,loginDEoot2018,usi{aT,4
14,Чернова,Агата,Данииловна,loginDElhk2018,Okk0jY,4
15,Лыткина,Ульяна,Станиславовна,loginDEazg2018,s3bb|V,3
16,Кулаков,Юрий,Владленович,loginDEtco2018,tTKDJB,3
17,Соловьёв,Андрей,Александрович,loginDEsyq2018,2QbpBN,4
18,Корнилова,Марфа,Макаровна,loginDEpxi2018,+5X&hy,3
19,Белоусова,Любовь,Георгьевна,loginDEicr2018,3+|Sn{,3
20,Анисимов,Никита,Гордеевич,loginDEcui2018,Zi1Tth,4
21,Стрелкова,Фаина,Федосеевна,loginDEpxc2018,G+nFsv,3
22,Осипов,Евгений,Иванович,loginDEqrd2018,sApUbt,1
23,Кудрявцева,Жанна,Демьяновна,loginDErsy2018,{Aa6nS,4
24,Матвиенко,Яков,Брониславович,loginDEvpz2018,mS0UxK,4
25,Селезнёв,Егор,Артёмович,loginDEfog2018,glICay,3
26,Брагин,Куприян,Митрофанович,loginDEpii2018,Ob}RZB,3
27,Гордеев,Виктор,Эдуардович,loginDEhyk2018,*gN}Tc,1
28,Мартынов,Онисим,Брониславович,loginDEdxi2018,ywLUbA,4
29,Никонова,Евгения,Павловна,loginDEzro2018,B24s6o,4
30,Полякова,Анна,Денисовна,loginDEuxg2018,K8jui7,3
31,Макарова,Пелагея,Антониновна,loginDEllw2018,jNtNUr,3
32,Андреева,Анна,Вячеславовна,loginDEddg2018,gGGhvD,1
33,Шилова,Кира,Егоровна,loginDEyiw2018,cnj3QR,4
34,Ситников,Игорь,Борисович,loginDEqup2018,95AU|R,1
35,Русаков,Борис,Христофорович,loginDExil2018,w+++Ht,1
36,Капустина,Ульяна,Игоревна,loginDEkuv2018,Ade++|,4
37,Беляков,Семён,Германнович,loginDEmox2018,Je}9e7,4
38,Гурьев,Ириней,Игнатьевич,loginDEvug2018,lEa{Cn,3
39,Мишин,Христофор,Леонидович,loginDEzre2018,N*VX+G,3
40,Лазарева,Антонина,Христофоровна,loginDEbes2018,NaVtyH,4
41,Маркова,Ираида,Сергеевна,loginDEkfg2018,r1060q,3
42,Носкова,Пелагея,Валерьевна,loginDEyek2018,KY2BL4,3
43,Баранов,Станислав,Дмитрьевич,loginDEloq2018,NZV5WR,1
44,Ефремов,Демьян,Артёмович,loginDEjfb2018,TNT+}h,4
